author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,created_at.y,location,name,description,url,username
52626317,2021-04-21T03:18:44.000Z,1384708152000712704,es,@Hmolinamilman @ElinaOliva Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:18:32.000Z,1384708102268796928,es,@pparcos1 @ElinaOliva Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:18:07.000Z,1384707994148085760,es,@jprojasporchile Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,2,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:17:44.000Z,1384707897846898689,es,@GiorgioJackson Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:17:23.000Z,1384707811389722626,es,@LobaP_ Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,9,1,8,1,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:16:45.000Z,1384707650500403200,es,@Enriprimero @ElinaOliva @sebastianpinera Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T03:15:48.000Z,1384707412670795778,es,@Lusaco0 @ElinaOliva Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista,2,0,1,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T01:57:31.000Z,1384687711697608705,es,@UWeones @ElinaOliva Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/pYQ9Z33oyp,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T02:30:16.000Z,1384695953018474498,es,@UATVNoticias @BlancaEwert1 Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/1TNX1kslZr,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
52626317,2021-04-21T02:29:36.000Z,1384695786060013570,es,@alberto2017cruz @ElinaOliva Escuchan? #AcusaciónConstitucionalAPiñera. @PPD_Chile  @PDC_Chile   @PRadicalcl @elfrente_amplio @PCdeChile @ecologistachile @IgualdadPartido @losPROgresistas @FedRegionalista @ComunesCL @Liberales_Chile @la_convergencia @phumanista https://t.co/Pu7e75TJk2,0,0,0,0,FALSE,2009-07-01T03:58:23.000Z,Chile,Eduardo Villalobos #NuevaConstitucion,Somos arquitectos de nuestro  propio destino,"",edovillalobosf
