author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,description,url,created_at.y,username,location,verified
1282775809028235269,1384735788005531649,2021-04-21T05:08:33.000Z,es,"@Luchn4 @Fevecris @KarolCariola Uff, parece que te estresaste donde no te respondí al tiro, lo siento mijo.
La charla se rompe cuando comienzan los insultos lamentablemente, a compartir sus memes repetidos a otro lado🖤",0,0,0,0,Ⓐ Claude the Red 🏴,"Él/He/Him/Comrade || GMT -3 || 26 || ES/EN || Monke
Anarchist VTuber
https://t.co/8QRmBH8fNa
https://t.co/uA200Jsbnw
#EsVTuber #VTuberES",https://t.co/Uh5tmskeEJ,2020-07-13T20:36:06.000Z,ClaudeTheRed,"",FALSE
1282775809028235269,1384720146086912000,2021-04-21T04:06:24.000Z,es,"@Luchn4 @Fevecris @KarolCariola Osea que si los recursos los tienen Mapuches y Bolivia es malo, pero si los tienen empresas de Estados Unidos es bueno, pero es malo si los tiene una empresa Chilena, gracias por la clarificación.",0,1,0,0,Ⓐ Claude the Red 🏴,"Él/He/Him/Comrade || GMT -3 || 26 || ES/EN || Monke
Anarchist VTuber
https://t.co/8QRmBH8fNa
https://t.co/uA200Jsbnw
#EsVTuber #VTuberES",https://t.co/Uh5tmskeEJ,2020-07-13T20:36:06.000Z,ClaudeTheRed,"",FALSE
1282775809028235269,1384721849255346177,2021-04-21T04:13:10.000Z,es,"@Luchn4 @Fevecris @KarolCariola Los trabajos no se fueron a ningún lado genio, las minas se quedaron donde estaban, la diferencia es que eso que llamas robo benefició a todo Chile.",0,2,0,0,Ⓐ Claude the Red 🏴,"Él/He/Him/Comrade || GMT -3 || 26 || ES/EN || Monke
Anarchist VTuber
https://t.co/8QRmBH8fNa
https://t.co/uA200Jsbnw
#EsVTuber #VTuberES",https://t.co/Uh5tmskeEJ,2020-07-13T20:36:06.000Z,ClaudeTheRed,"",FALSE
1282775809028235269,1384716150152499206,2021-04-21T03:50:31.000Z,es,@Luchn4 @Fevecris @KarolCariola Osea que sacar el cobre de las manos extranjeras que lo explotaban y dejarlo en manos de una empresa estatal para beneficiar al país es un robo para ti? Uff,0,1,0,0,Ⓐ Claude the Red 🏴,"Él/He/Him/Comrade || GMT -3 || 26 || ES/EN || Monke
Anarchist VTuber
https://t.co/8QRmBH8fNa
https://t.co/uA200Jsbnw
#EsVTuber #VTuberES",https://t.co/Uh5tmskeEJ,2020-07-13T20:36:06.000Z,ClaudeTheRed,"",FALSE
1283171511864614912,1384712500269223937,2021-04-21T03:36:01.000Z,es,@kingDaReloaded @KarolCariola wajajajaj la raja pa grande,0,0,0,0,guillermo antonio parra pavez,apruebo con todo si no pa que,"",2020-07-14T22:48:46.000Z,guiller79637581,"",FALSE
1298699523942952967,1384730620379766784,2021-04-21T04:48:01.000Z,es,@KarolCariola @connieachurra Te rechazam0s Piñer4! https://t.co/AFBwD6p6nq,0,0,0,0,Pamela Ramirez,Apruebo+CC+NC otra vez reciclando mi cuenta. Me bajaron otra vez pero me vuelvo a levantar!,"",2020-08-26T19:11:32.000Z,APRUEBO_CC_NC,"",FALSE
1302943560715599879,1384708604603809794,2021-04-21T03:20:32.000Z,es,@Ofernandez68 @alecitoazul1977 @KarolCariola Por las que será juzgado internacionalmente el estafador 😘,0,0,1,0,Esto no prendio 👉🏻📺,Los fachos LOGRARON que en estas elecciones VOTE SIN MIEDO#Jadue Presidente el único capaz de realizar el cambio,"",2020-09-07T12:15:43.000Z,JaduePdte,"",FALSE
1313921998624624646,1384702431565602816,2021-04-21T02:56:00.000Z,es,@KarolCariola Acusación constitucional ahora,0,0,1,0,Marco M.,"Amante de la libertad y la aventura viajar y luchar por lo justo
POR UNA CONSTITUCIONAL SIN LOS MISMOS DE SIEMPRE.","",2020-10-07T19:20:06.000Z,octubre35628748,"Concepción, Chile",FALSE
1315677201870868482,1384701899740418051,2021-04-21T02:53:54.000Z,es,@IraciHassler @KarolCariola Vamos Santiago ... el comunismo no puede llagar a la alcaldía... la rebelión de las masas... imagínense liderando la municipalidad ....no a la #variantemarx,0,0,1,0,Public_Enemy_Chile,Enemigos Públicos de Chile,"",2020-10-12T15:34:39.000Z,ChileEnemy,"",FALSE
1329631542046568449,1384706631070588930,2021-04-21T03:12:42.000Z,es,"@KarolCariola Queda poco, se logrará que partidos totalitarios no puedan existir en Chile y quedará escrito en la nueva Constitución.
Ya muchos constituyentes lo están analizando, del apruebo y rechazo.",0,2,2,0,"El Constituyente Ilegal,","A decir las cosas como son.
Ingeniero áreas forestales reducidas, Magíster en PVC, journalist, operador integral sistemas post.","",2020-11-20T03:44:14.000Z,ElConstituyent5,"",FALSE
