author_id,lang,created_at.x,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,url,description,name,location,verified,created_at.y,username
1360639097006612481,es,2021-04-21T02:19:59.000Z,1384693367460745217,"@LoreNurse84 @Francis25830521 @cfelmerv @gonzalowinter @Juan_SantanaC @camila_vallejo @Camila_RojasV yo creo que asi como va el pais, mas temprano que tarde, tendrás la oportunidad. Esto se va a decidir por las malas.",0,0,0,0,"","Prevaleceremos, sigo a quien me da la gana. Tu eliges, socialismo o libertad.",Nervio,"",FALSE,2021-02-13T17:17:06.000Z,nervio95916001
1374840630569013250,es,2021-04-21T01:55:47.000Z,1384687276442234880,"@Camila_RojasV @elfrente_amplio No dejen de lado,  la carta de los comandantes en jefe a la Red, ¡¡",0,0,0,0,"",el deporte,Hugo,"",FALSE,2021-03-24T21:49:18.000Z,Hugo06565401
1376512877000065024,es,2021-04-21T06:13:39.000Z,1384752171854487554,@Camila_RojasV @Ebrielynca Asqueroso Paco CTM .,0,0,0,0,"",cambiemos está porquería,Williams Wallace,"Calama, Chile",FALSE,2021-03-29T12:34:06.000Z,William79357602
1377776472891531267,es,2021-04-21T02:27:48.000Z,1384695334660624392,@Postnataldeeme1 @MaiteOrsini @KarolCariola @Nora_Cuevas @Mayafernandeza @MarcelaHernando @PepaHoffmann @aracelyleuquen @erikaoliverad @joannaperezolea @Camila_RojasV @PattyRubio13 @nonaossandon @vtroncosoh Queremos nuestro 10% y posnataldeemergecia por que 90 días no es suficiente mujeres trabajadoras perdimos nuestros trabajos por proteger las vidas de nuestros hijo@s no más mujeres cesantes.,0,0,0,0,"",Nunca me doy por vencida,Rosa Pedrero,"",FALSE,2021-04-02T00:15:21.000Z,RosaPedrero1
1381675389131624451,es,2021-04-21T03:49:19.000Z,1384715848955449345,@Camila_RojasV Awwww... La P5T1 de @elfrente_amplio defendiendo al huecardo profesor... Qué pague con cárcel el conchesumadre,0,0,0,0,"","Fracasado Refuerzo de Coquimbo Unido, aún debo unas contribuciones por un terrenito en el sur...",Chuma Kramer,"",FALSE,2021-04-12T18:28:07.000Z,ChumaKramer
139470823,es,2021-04-21T03:15:41.000Z,1384707383448932353,@Camila_RojasV AMERMELADA LLEVATELO PARA TU CASA,0,0,0,0,"","",cachorro,"La Pintana, Chile",FALSE,2010-05-02T18:30:04.000Z,JoseBriones10
1430757402,es,2021-04-21T03:20:11.000Z,1384708514237407236,"@Camila_RojasV Claro es muy poco, debería ser cadena perpetua.",0,0,0,0,"","",Soto en cuarentena,Santiago RM,FALSE,2013-05-15T15:29:06.000Z,Nanowys
143178620,es,2021-04-21T02:31:41.000Z,1384696311996456962,@Camila_RojasV Al parecer nos estamos acostumbrando a que destruir el pais es un delito leve,0,0,0,0,"","",Rafael O'Ryan,Calera de Tango,FALSE,2010-05-12T20:15:16.000Z,cucalon
151958799,es,2021-04-21T03:57:10.000Z,1384717823549878272,"@Camila_RojasV @elfrente_amplio Cuento viejo, ver para creer. Háganlo de verdad y no anden engrupiendo a la gente, “vaaamos a impulsar una acusación constitucional y bla bla bla”, sabiendo que no va prosperar y para quedar bien con la gente...",0,0,0,0,"","",Fernando,Santiago de Chile,FALSE,2010-06-04T17:56:35.000Z,demonais
157411491,es,2021-04-21T02:23:17.000Z,1384694196808949763,"@kurtBarlowBS @Camila_RojasV Me gusta la idea, pero lo convertirían en ""mártir"" y sería una fecha tan memorable como lo es el día del joven delincuente para estos abZurdos",0,0,4,0,"","Emprendedor, deportista, libertario, animalista, Derechito por la vida 😎 #RechazoUnaNuevaConstitucion 💚.

No me sigan los #abZurdos",Manfred von Richthofen,Chile,FALSE,2010-06-19T18:43:37.000Z,electronicko
177038366,es,2021-04-21T04:53:07.000Z,1384731903073394689,"🚨mañana, porque necesitamos su voto?🙏🙏
@maiteorsini
@karolCariola
@nora_cuevas @MayaFernandeza
@marcelaHernando
@PepaHoffmann
@aracelyleuquen
@erikaoliverad
@joannaperezolea
@Camila_RojasV
@pattyRubio13
@nonaossandon
@vtroncosoht #90DíasNoSonSuficientes #PostnatalDeEmergencia https://t.co/epuqdNZy8q",0,0,0,0,"","#extencionpostnataldeemergencia
#leydealergias",Gabriela Paz,"",FALSE,2010-08-11T02:45:25.000Z,Gabriela_Phaz
1856002080,es,2021-04-21T01:54:53.000Z,1384687051400953860,"@Camila_RojasV @elfrente_amplio El fraude amplio y el PC buscan un nuevo intento x derrocar al gobierno en su intenso número 2876594 en pandemia de golpe blando para llegar al poder x la fuerza, ya que saben que de manera democrática jamás llegaran al poder, chile los desprecia!",0,0,0,0,"","Ocupo este espacio como catarsis, nada más, no me interesa tu opinión o que no te guste la mía 💜 siga de largo gracias.",SoylaOtra 😎,Chile,FALSE,2013-09-12T02:21:30.000Z,NatitoOdiosa
186649153,es,2021-04-21T02:27:18.000Z,1384695209506734081,"@Camila_RojasV Está bien, #rompepaga 👏🏻👏🏻👏🏻",0,0,0,0,"",𝑀𝒶𝓂á 𝑀𝓊𝓁𝓉𝒾𝓉𝒶𝓈𝓀  🤳🏼,𝒦𝒶𝓉𝓎 𝒱𝒶𝓁𝓁𝑒𝒿𝑜𝓈 👩🏻‍💻,"Concepción, Chile",FALSE,2010-09-04T00:58:18.000Z,Katy_VallejosB
215631039,es,2021-04-21T03:00:07.000Z,1384703465994301440,@Camila_RojasV Pajarita. Poco pidieron.,0,0,1,0,"","Fumador-Bebedor-Comelón. Un poco serio, deslenguado. No soy Humilde. Trabajolico. Bueno pal tuto. #Enamorado #Pinochetista #Derechista #Viña #Reñaca #Valpo #34",Christian ArancibiaA 🇨🇱,"Valparaíso y Viña Del Mar, CHI",FALSE,2010-11-14T13:48:43.000Z,KriegerFenixAAA
233959584,es,2021-04-21T02:21:23.000Z,1384693719799062528,"@Camila_RojasV E parece mucho, para mi es poco.",0,0,0,0,"","Todo comentario zurdo o defensa de ellos, los bloqueo me https://t.co/mljXZosKtu un 🥚si no les gusta, ok?",Pablo,"",FALSE,2011-01-04T14:32:39.000Z,pabloxbarrios
2367290089,es,2021-04-21T04:55:15.000Z,1384732441261318146,"@Alvishake @Camila_RojasV Si tanto juras que Piñera es un ladrón pon las pruebas, capaz te denuncien a ti por injurias",0,0,0,0,"","combatiendo la estupidez de la gente como si fuera un deporte, sobretodo para los que se creen moralmente superiores",el abogado del diablo,Venezuela,FALSE,2014-03-01T16:20:28.000Z,BornOfHorde
2388721859,es,2021-04-21T02:48:22.000Z,1384700508829622275,@Camila_RojasV Otra delincuente disfrazada como ciudadana decente.,0,0,0,0,"","",flam goboy,"",FALSE,2014-03-06T16:39:09.000Z,flam_goboy
2444370679,es,2021-04-21T04:07:53.000Z,1384720520415940608,"@Camila_RojasV Pocos le dieron a esta lacra de izquierda, junto a los parásitos del FA e izquierda debieran de ser condenados por traición a la Patria e intento de derrocamiento a un Gobierno elegido democráticamente, aunque este sea un circo...😡😡😡😡",0,0,0,0,"","Chileno hasta la médula, sin color Político, aunque jamás zurdo....Dios, Patria y Familia, Caballero Cruzado, catlover...divorciado #RecuperemosChile💚",moises antonio,"Santiago, Metropolitana de San",FALSE,2014-04-14T19:09:07.000Z,napolitano4229
264286265,es,2021-04-21T04:06:10.000Z,1384720088226582529,"@Camila_RojasV Tienes razón, debería ser más @FiscaliadeChile  pidan unos 15, no más delincuentes y tolerancia con quienes destruyen y violentan",0,0,0,0,"","Perseverante, paciente con defectos y virtudes como todos, apasionada, Caprichosa, enojona amo el diseño, etc. todo lo q es crear consecuentes con mis valores",Pia 🇨🇱💚💙,chile,FALSE,2011-03-11T17:07:00.000Z,Pia_Matiilde
280577822,es,2021-04-21T04:13:19.000Z,1384721886056263685,"@Camila_RojasV Para cambiar estos abusos, cuantos reformas al sistema judicial ha impulsado ud?",0,0,0,0,"","ex-sureño, Ingeniero, método KISS, Epistócrata. Mejorar y reparar cosas es mi pasión.",Zorro ql... 🦊,"Santiago, Chile",FALSE,2011-04-11T16:16:55.000Z,zorroku
2868382869,es,2021-04-21T02:00:09.000Z,1384688375454707714,"¿Cuándo veremos q se bajan los sueldos, q eliminan las asignaciones monstruosas? Dejen de joder a los chilenos y comiencen a trabajar de verdad. Usan al pueblo para logras sus ambiciones odiosas...

@gonzalowinter
  @juan_santanac
 @dioutadagirardi @camila_vallejo
 @Camila_RojasV https://t.co/6w56Vxata5",0,0,0,0,"","",Mario Montes Tagle,"",FALSE,2014-11-09T03:53:06.000Z,caanda2
