author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,verified,name,url,description
341257520,2021-04-20T23:15:54.000Z,1384647041901531137,es,"@BHasenlechner @bikesantiago_ @bicilascondes @MobikeCL @Orrego @marcelomena @FranHernandezC @leplancton @jcienfuegos @Mariaolacevedo @alvarocisternas Tendría que responder el propio @LavinJoaquin 
Yo lo tengo como uno de mis primeros puntos al asumir la alcaldía, se puede hacer sin mayores trámites, de hecho, Bike Santiago espera llegar a #LasCondes",0,1,3,0,2011-07-24T02:30:14.000Z,NicoPreuss,FALSE,Nicolás Preuss #LasCondes,https://t.co/hFbKtnEzDg,Candidato a Alcalde por #LasCondes Máster en Economía Aplicada U de Valencia @UV_eg Magíster(c) en Gobierno y Gerencia @uchile Administrador Público @usach
345711453,2021-04-21T04:38:25.000Z,1384728204578074624,es,"@Orrego Pero así como las ffaa no pueden inmiscuirse en política, tampoco puedes hacer “humor político” con ellas",0,0,0,0,2011-07-31T01:51:41.000Z,vzuniga76,FALSE,Vitto allmighty,"","Una vez cosaco, siempre cosaco, semper fi... antiinfluencer, NO SiGAN MIS CONCEJOS 🤣"
345987090,2021-04-20T22:37:43.000Z,1384637429487915009,es,"@Orrego Nadie puede hacer parodias de gay  y otros grupos, pero si de las FFAA....que inconsecuente eres!!!!  Populista y oportunista. @RojoEdwards es el único posible gobernador.",0,0,1,0,2011-07-31T14:42:48.000Z,Lina1061,FALSE,Lina Bahamonde,"",""
355202273,2021-04-21T04:27:47.000Z,1384725529702584320,es,@Orrego No te Creoo!!!,0,0,0,0,2011-08-15T00:31:21.000Z,rosalespinto,FALSE,No Mas Abusos,"","Sin Militancia , de ideas Libres , en Contra de la Injusticia y la Tontera , Pro. Libertad Llanero Solitario."
380644384,2021-04-21T01:53:09.000Z,1384686611980500992,es,@Orrego Que más se le puede pedir a la peor clase política de la historia de Chile!!!!,0,0,0,0,2011-09-27T00:25:22.000Z,Calico1565,FALSE,Patriota del 22 %,"","Me cargan los zurdos jajajajaja, viva mi querido Chile, All Comunist Are Bastards (ACAB)"
384005644,2021-04-21T04:24:17.000Z,1384724647896363015,es,"@Orrego O sea para UD es normal y libertad de prensa que se burlen y denosten a nuestro ejército, uffffff y pensar que UD fué intendente de Santiago,en ese tiempo permitía que se burlaran de nuestras fuerzas armadas? Solo exigen respeto para su lado nomás",0,0,0,0,2011-10-02T22:15:24.000Z,yenny_mo,FALSE,yenny moya 💚👮,"",""
394064789,2021-04-20T23:04:24.000Z,1384644147781554176,es,"@Orrego El humor en Chile dejó de ser entretenido, hasta que los zurdos se aprovecharon y lo ensuciaron con su ideología estúpida y atrevida.",0,0,0,0,2011-10-19T14:30:36.000Z,Chofy_yo,FALSE,ZophieSol 🇨🇭🌷🇨🇭,"","Siempre a la derecha, respetuosa de las FFAA y Carabineros. 

Ni -perdón -ni -olvido. 
Por un Chile masacrado por los comunistas."
4229711373,2021-04-21T03:27:22.000Z,1384710321777041412,es,@Orrego Los chilenos hacemos risa de nuestros terremotos y réplicas que son tremendas tragedias y que va a importar una parodia simpática del Gral Bulnes.,0,0,0,0,2015-11-19T22:29:10.000Z,martaibacetac,FALSE,@martaibacetac,"",Política
44654194,2021-04-20T23:35:04.000Z,1384651862813642752,es,@cristian_arayal @Orrego @RojoEdwards NO LO CONOCES BIEN. ES UN POLITICO ÁVIDO DE PODER. NO RULES,0,0,0,0,2009-06-04T16:29:25.000Z,ARPONARANCIBIA,FALSE,PEDRO ARANCIBIA #PATRIOTA,"","fighter, ingeniero, empresario, abuelo, retirado por ataxia cerebelar. Preocupado del futuro de Chile.
#YOVOTORECHAZO"
485234145,2021-04-20T23:26:00.000Z,1384649582022381569,es,@cristian_arayal @melnicksergio @Orrego @RojoEdwards La misión de la TV basura de chile es idiotizar  la audiencia.,0,0,0,0,2012-02-07T00:09:10.000Z,mgjaquep,FALSE,gaston jacques,"","Nada tengo en contra de los pobres ,de alla vengo, ni nada en contra de los ricos para alla voy. LIBERTARIO Y PATRIOTA,  ¡viva Chile Libre! yo SOY del 22% 👍"
556223805,2021-04-21T03:10:26.000Z,1384706061697966084,es,"@Orrego No sean populistas, está obligado a ir al TC",0,0,0,0,2012-04-17T17:29:55.000Z,JAVIERMORONI1,FALSE,JAVIER MORONI,"","Ingeniero Civil U. de Chile. Basquetbolista activo. Osornino de corazón. Amante de la libertad, Azul. Patriota"
