author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,location,username
173219997,1384706113438900225,2021-04-21T03:10:38.000Z,es,DÍGANLE ADIÓS A SUS CANDIDATURAS @PSChile y @PDC_Chile !!! https://t.co/AxkhrM0EYZ,0,0,3,0,יֵשׁוּעַ,"",Cagándola desde 1993.- 🏳️‍🌈,FALSE,2010-07-31T19:35:37.000Z,"",mr_vllr
182218537,1384706839355535360,2021-04-21T03:13:31.000Z,es,"@PDC_Chile @NolbertoDiaz @DiputadosDC      FALTAN NORBERTOS DIAZ EN LA DEMOCRACIA CRISTIANA. COMO INTERPRETA A LAS BASES, INTERPELANDO A QUIENES NOS DEBEN RESPUESTAS CONCRETAS Y ESPERANZADORAS.👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",0,0,0,0,cecilia martinez de,"","un hijo maravilloso,sueño sociedad respetuosa,justa y dirigentes capaces, DC. Profe frustrada,ex fun.pública APRUEBO y CC.",FALSE,2010-08-24T03:03:10.000Z,"",myriceci
207741909,1384704775523033088,2021-04-21T03:05:19.000Z,es,@glorianaveillan @PDC_Chile @TEMUCOENGRANDE Agrego hoy el proyecto de vio en la Comisión de Seguridad del Senado a las 15.30 horas y vi el debate. Saludos,0,0,1,0,Gabriel Alemparte,https://t.co/RX6b2rclkY,"Abogado, Derecho Público y regulatorio, Master Ciencia Política. 100% ejercicio profesional. Escribo @entrepiso_cl ejerzo en https://t.co/RX6b2rclkY",FALSE,2010-10-25T23:22:35.000Z,Santiago Chile,jgalemparte
207741909,1384704549672439813,2021-04-21T03:04:25.000Z,es,"@glorianaveillan @PDC_Chile @TEMUCOENGRANDE Estimada @glorianaveillan con el respeto y el hecho de conocerte hace mucho tiempo, te comunico que hace varios años no pertenezco a la DC. Además hoy vi la discusión y el problema fueron todos los parlamentarios de la Araucanía. Saludos.",0,0,0,0,Gabriel Alemparte,https://t.co/RX6b2rclkY,"Abogado, Derecho Público y regulatorio, Master Ciencia Política. 100% ejercicio profesional. Escribo @entrepiso_cl ejerzo en https://t.co/RX6b2rclkY",FALSE,2010-10-25T23:22:35.000Z,Santiago Chile,jgalemparte
215449372,1384707153550839810,2021-04-21T03:14:46.000Z,es,"@mentiraslared Esperamos esperamos... siempre esperan y la gente está desesperada, muevan la raja los weones de la oposición y hagan algo.. alguna vez pónganse de la parte del pueblo y no de los poderosos... chucha verdad que eres DC, palabras perdidas 😔 @ProvosteYasna @PDC_Chile",1,0,4,0,Rodrigo Rojas y si #Apruebo,"","",FALSE,2010-11-13T23:55:23.000Z,Chile,chicouchile
2269518681,1384715961421402113,2021-04-21T03:49:46.000Z,es,Cómo deben estar revolcándose en su tumba don Salvador Allende y don Andrés Aylwin!!! @PSChile @SenadoresPS @DiputadosDC @PDC_Chile @paulanarvaezo @ximerincon https://t.co/wlt0hPtK9R,0,0,0,0,Ricardo Apruebo Contreras González,https://t.co/o3aIjskiYg,"#APRUEBO #ConvenciónConstitucional #WallmapuLibre #LicanAntai / Prevencionista d 👨🏻‍🎓 Portuario d ❤️/ Amo a Victor Jara,Violeta Parra,Gabriela Mistral 🏳️‍🌈",FALSE,2014-01-08T20:48:35.000Z,"Antofagasta, Chile",RicardoAndressc
2302337486,1384718021684572160,2021-04-21T03:57:57.000Z,es,"@PSChile @PDC_Chile
Dsde el 19/oct, el ""presidente"" ha violado los DDHH, nos tiene hace +d un año en tque de queda, la pandemia lleva+ de 30 mil muertos, los bonos han sido burla. Avala a los militares saliendose de la constitución. Hagan un análisis más allá d sus narices😡 https://t.co/UBUShJSi9s",0,0,0,0,Andrés.,"",Soy lo que soy. ColoColino. sig Leo,FALSE,2014-01-21T02:16:08.000Z,Santiago,villegasa69
2358702834,1384725986307100678,2021-04-21T04:29:36.000Z,es,@sebastianpinera @udipopular @PDC_Chile @RNchile te odio Piñera conchetumare bastardo culiao y todos uds políticos chupa picos están donde calienta el sol pero recuerden nunca más por uds bastardos culiaos hijos de puta pero ya no caminarán tranquilos,0,0,0,0,Luis Moraga,"","",FALSE,2014-02-24T00:36:52.000Z,"",LuisLuismn186
242151388,1384707501392908288,2021-04-21T03:16:09.000Z,es,@PDC_Chile @ximerincon dónde quedan las convicciones cristianas en las decisiones de este partido? Nombran como Pdte de la comisión DDHH a un senador que defiende una dictadura q actualmente tiene informes internacionales de violaciones a los DDHH??? Dónde queda la coherencia? https://t.co/NEv4GlbTYe,0,0,0,0,Carola de P.,"","Admiradora de la vida y de la PAZ. Amo Chile! Amor en el Mundo!
Sonríe 😉",FALSE,2011-01-24T02:26:41.000Z,"",acmedep
260875843,1384703480787517441,2021-04-21T03:00:11.000Z,es,@PSChile y @PDC_Chile tienen candidatos para las elecciones?? Si no apoyan la #AcusacionConstitucionalAPiñera ninguno de sus candidatos tendrá opción. Todos a votar por el @PCdeChile!!! 💪🏻💪🏻😱 https://t.co/ge7qlHT5I4,0,0,0,0,Convención Constitucional,"",Convención Constitucional,FALSE,2011-03-04T19:58:44.000Z,"",AleApruebo
260875843,1384702830062211078,2021-04-21T02:57:35.000Z,es,Exijo #acusaciónconstitucional a @PDC_Chile @PSChile @elfrente_amplio!!! Vienen las elecciones y de esto depende que sus candidatos salgan!!! @sebastianpinera tiene Chile en la miseria!!! https://t.co/RsMmA8ZLlw,0,0,0,0,Convención Constitucional,"",Convención Constitucional,FALSE,2011-03-04T19:58:44.000Z,"",AleApruebo
2765906836,1384748654884532225,2021-04-21T05:59:41.000Z,es,"@DiputadosDC Algo he aprendido, nunca votar por un @PDC_Chile más cuando @renesaffirio quiso defender a los niños y ellos por sus negocios con el @Sename_gobierno se negaron",0,0,0,0,Claudio Caniucura,"",Quien adopta más weones?? la derecha o la izquierda?? todos peleándose entre ello,FALSE,2014-09-09T22:28:25.000Z,"",CCaniucura
2792757528,1384714352842977280,2021-04-21T03:43:23.000Z,es,@PDC_Chile DERECHA PURA USTEDES POR ÉSO NO QUIEREN ACUSAR A PIÑERA CONSTITUCIONALMENTE,0,0,0,0,Gemunoz,"","DEL COMÚN DE LA GENTE SIN PEGA CON DEUDAS Y SÓLO QUIERO UN PAÍS MÁS IGUALITARIO Y QUE SEA DE TODOS ,NO SÓLO DE UNOS POCOS,CON LÍDERES CONSECUENTES NO CORRUPTOS",FALSE,2014-09-05T23:38:59.000Z,temuco,2_gemi
32706469,1384717152696127488,2021-04-21T03:54:30.000Z,es,@jara_mo @branemark1 @pepe_auth En este momento los @PDC_Chile @DiputadosDC @PSChile @bancadaPSchile por darle la espalda a la gente y no apoyar acusación.,1,0,1,0,Gisela Saez,https://t.co/ghULpxp5l2,"Ambientalista, políticamente independiente, Amante de la Vida.",FALSE,2009-04-18T01:22:06.000Z,"",giselasaez
336851249,1384707956084781056,2021-04-21T03:17:58.000Z,es,"Piénsalo muy bien DC si vas a salvar nuevamente al infeliz de Piñera de una #AcusacionConstitucional porque ya estamos hasta el loly con sus volteretas y prostituciones, 
No pueden ser más nefastos!!!! @PDC_Chile",0,0,1,0,Aleperséfone,"","Nada me pertenece más que mis sueños, Soy lo que Soy y todo aquello que quiero ser....Aspie...",FALSE,2011-07-17T01:17:14.000Z,Del clan de la Cicatriz,Alepersefone
353062096,1384707451459678209,2021-04-21T03:15:57.000Z,es,"Por favor @sebastianpinera ⚠️RENUNCIE⚠️ y que se forme un #GobiernoDeUnidadNacional 
No habrá legado #ElPeorPresidenteDeLaHistoria 
#Cacerolazo #estallido2021 #TercerRetiroDel10MV @PDC_Chile  @PSChile @elfrente_amplio
@PRadicalcl @RNchile @cutchile #AcusacionConstitucionalAPiñera",2,0,2,0,Imagen Sur ZAL 2021™,https://t.co/PBRTSNDMdf,"Fotógrafo, republicano, catador a domicilio de carnes, cervezas artesanales, vino y pisco sour.  protón permanente. Optimista 24/7 🍽️🍷🍻 IG: @hu_hu_hugo_zal",FALSE,2011-08-11T14:02:02.000Z,Valdivia - chile,ImagenSurZAL
369924660,1384700936996761601,2021-04-21T02:50:04.000Z,und,@PDC_Chile @matiaswalkerp https://t.co/2xQzBiSO9H,0,0,0,0,Alberto Camus Rastello,"","Justo, Valiente, Honesto, Trabajador, Viajero, Gozador de Vino y Comidas, Leer para tener Opinion y Debatir.",FALSE,2011-09-08T05:14:48.000Z,"",_alcara_
383309209,1384721242914267136,2021-04-21T04:10:45.000Z,es,"Para la elecciones de constituyentes, gobernadores, alcaldes y concejales no se olvide que el @PDC_Chile y el @PSChile nuevamente se cuadraron con la derecha para salvar a @sebastianpinera
No vote por ningún candidato de estos partidos o patrocinados por estos partidos (hilo) https://t.co/9AkkQrmWg9",0,1,0,0,Yo APRUEBO Justo Sánchez,"","Dirigente Asociación Nacional de Funcionarios de Aduanas 
Andino de corazón, mi corazón ❤ siempre a la izquierda.",FALSE,2011-10-01T17:02:45.000Z,"Los Andes, Chile",jufesa1967
