author_id,created_at.x,id,text,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,url,username,description,verified,name,created_at.y
1373348188992704515,2021-04-21T02:09:46.000Z,1384690796750942210,"@Jeniffe79264647 @FelipeWard @sebastianpinera lamentablemente los políticos viven en una burbuja, donde no son capaces de ver la realidad de las familias chilenas, ellos viven otra realidad. por eso seguiremos luchando, por que nos cansamos de ser invisibles.",es,0,0,0,0,"",mas_integracion,"somos un grupo de familias con subsidio ds1 tramo 1, que buscamos más cupos de integración social, luchamos por el sueño de la casa propia.",FALSE,Unidas Por Más Cupos De Integración Social,2021-03-20T18:58:47.000Z
1374113859817119746,2021-04-20T22:42:00.000Z,1384638509940723712,"@GuilleRolandoV @Minvu Serviu solo me sugiere renunciar al subsidio, después de tanto esfuerzo .. Me parece insólito
Quiero ver opciones en regiónes.. Y me piden el puntaje de corte.
No hay manera de aumentar ese puntaje con más ahorros??? Pará no renunciar al subsidio
@FelipeWard @mas_integracion",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:39:23.000Z,1384637852076675086,"@GuilleRolandoV @Minvu Liberen las restricciones del ds1 para comprar en regiónes al igual que el ds49..
La región metropolitana no tiene integración social.. TODOS ESTAMOS EN PANDEMIA @MAS_INTEGRACION @FELIPEWARD
#liberenlasrestriccionesdelsubsidiods1",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:32:30.000Z,1384636116255522817,"@ServiuRM @FelipeWard @Minvu Liberen las restricciones del ds1 para comprar en regiónes..
La región metropolitana no tiene integración social!!!!
@felipewarde @MinvuRM
@mas_integracion

#unidosporintegracionsocial
#liberenlasrestriccionesdelsubsidiods1",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:29:14.000Z,1384635294222323714,"@Minvu @ServiuRM @FelipeWard @GuilleRolandoV @MinvuRM @GobiernodeChile @mjerrazurizt Queremos mas integración social.. La región metropolitana está copada. Liberen las restricciones del ds1 para comprar en regiónes

#liberenlasrestriccionesdelsubsidiods1
#unidosporintegracionsocial #subsidiofantasma #liberenlasrestriccionesdelsubsidiods1",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:37:35.000Z,1384637398378815495,@Minvu @ServiuRM @FelipeWard @GuilleRolandoV @GobiernodeChile LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES AL IGUAL QUE EL SUBSIDIO DS49.. TODOS ESTAMOS EN PANDEMIA @MAS_INTEGRACION @FELIPEWARD,es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:35:03.000Z,1384636761364705281,"@MinvuRM @patrimonio_cl @MNHNcl LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES AL IGUAL QUE El SUBSIDIO DS49.. TODOS ESTAMOS EN PANDEMIA. LA RM NO TIENE INTEGRACIÓN SOCIAL

#SUBSIDIOFANTASMA
#DS1TRAMO1MASCUPOS
#LIBERENLASRESTRICCIONESDELSUBSIDIODS1

@FelipeWard @MinvuRM @mas_integracion",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:42:46.000Z,1384638702287265794,"@Minvu @GuilleRolandoV @FelipeWard @GobiernodeChile Desesperada nivel dios!
@FelipeWard @MinvuRM @mas_integracion
LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES AL IGUAL QUE LOS DEL SUBSIDIO DS49",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:31:32.000Z,1384635876702048257,"@MinDesarrollo LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES AL IGUAL QUE LOS DEL SUBSIDIO DS49... TODOS ESTAMOS EN PANDEMIA
@FelipeWard
@MinvuRM #UNIDOSPORINTEGRACIONSOCIAL
#SUBSIDIOFANTASMA
#DS1TRAMO1MASCUPOS
#FISCALIZACIÓNALASINMOBILIARIAS
#LIBERENLASRESTRICCIONESDELSUBSIDIODS1",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:30:23.000Z,1384635584237514775,"@meganoticiascl Liberen las restricciones del ds1 para comprar en regiónes al igual que el ds49
@FelipeWard @MinvuRM
@mas_integracion
#unidosporintegracionsocial
#subsidiofantasma
#ds1tramo1mascupos
#Fiscalizaciónalasinmobiliarias
#liberenlasrestriccionesdelsubsidiods1",es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
