author_id,text,created_at.x,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,location,url,username,created_at.y,name,description
1225855802638045184,@fcejas_24 @sebastiansichel No te preocupes!! Yo le aportare 10...,2021-04-21T04:56:34.000Z,1384732770946199553,es,0,0,0,0,FALSE,"","",LaVicki8,2020-02-07T18:56:41.000Z,La Vicki,"Profesional,Madre,y Abuela Feliz..
cristiana,de Derecha hasta la muerte"
1225855802638045184,@patrici230949 @sebastiansichel Algunos chileno!! El resto que es mayoría seguimos siendo dignos!!,2021-04-21T04:55:10.000Z,1384732418683383808,es,0,0,0,0,FALSE,"","",LaVicki8,2020-02-07T18:56:41.000Z,La Vicki,"Profesional,Madre,y Abuela Feliz..
cristiana,de Derecha hasta la muerte"
1233389539911196674,"🔴 Este miércoles en #MesonConstituyente vea al pre candidato presidencial @sebastiansichel y a la candidata a la CC distrito 13 
@SusanaHiplan. Moderador @ejgarciaa https://t.co/v83z17AdeW",2021-04-21T00:45:27.000Z,1384669575011315713,es,3,0,5,0,FALSE,Chile,https://t.co/KbIDWwJyO9,ElBaquedanocl,2020-02-28T13:52:46.000Z,El Baquedano,"Un medio que te dice las cosas como son.

https://t.co/KbIDWwJyO9"
123898399,@sebastiansichel Tenia fe @sebastiansichel acabas de perder 6 votos sumando a mi familia Chao chanta,2021-04-20T23:20:56.000Z,1384648305108557825,es,0,2,6,0,FALSE,"","",fcejas_24,2010-03-17T15:19:53.000Z,fcejas,""
1257170370760712194,"@sebastiansichel @sebastianpinera está entregando en bandeja de plata las próximas elecciones a la izquierda.. ni si quiera al centro. Está dejando muy mal a la derecha no recapacitó nunca en su actuar lamentable.. Uds. Debe poner la mesura y liderar, lo veo poco en los medios..vamos que se puede",2021-04-21T01:38:46.000Z,1384682995026694146,es,0,0,0,0,FALSE,"","",patoadoc2,2020-05-04T04:49:17.000Z,Patricio,""
1261134792008953859,"@Anthony07777 @FRI30 @PamJiles @sebastiansichel Eso es falso, los ahorros son rentables, lo que dices es por no saber ver tus cartelas al ver tus rentabilidad. Mi papa es jubilado y saca arriba de 500 lucas y no es na millonario. Que quieres jubilarte como en Argentina, donde ahí si que los viejos pasan hambre.",2021-04-20T23:18:45.000Z,1384647755377872897,es,0,1,0,0,FALSE,"","",CokeLibertario,2020-05-15T03:22:31.000Z,Coke_libertario,viva la libertad
1261134792008953859,"@FRI30 @PamJiles @sebastiansichel No es privilegio, es hábito. Yo no gano mucho y aun asi logré ahorrar e invertir. Además de que me paguen las cotizaciones. Tu simplemente no quieres cambiar tus hábitos financieros. Y que se puede, si, se puede.",2021-04-20T23:16:33.000Z,1384647203096956933,es,0,0,0,0,FALSE,"","",CokeLibertario,2020-05-15T03:22:31.000Z,Coke_libertario,viva la libertad
1261134792008953859,"@Anthony07777 @FRI30 @PamJiles @sebastiansichel Mentira, no necesitas ganar 1 millón, eres tu la ignorante que no tienes ni siquiera datos para comprobar tus mentiras.",2021-04-20T23:19:39.000Z,1384647982784688128,es,0,1,0,0,FALSE,"","",CokeLibertario,2020-05-15T03:22:31.000Z,Coke_libertario,viva la libertad
1273303164121464833,"@sebastiansichel El fin de esa gente es aplastar al presidente, no nosotros los ciudadanos, que lamentable!!!",2021-04-20T23:55:56.000Z,1384657114484858881,es,0,0,0,0,FALSE,"","",RosaMam5,2020-06-17T17:15:16.000Z,Rosa Mamá,""
1280906639462277124,"Ya no engaňo uno de derecha @sebastianpinera  ninguno más , por más que se llame liberal , este weon engaño incluso a los que éramos derecha centro liberal , a los que nunca fuimos PİNOCHETİSTA cago @IavinJoaquin  @sebastiansichel @ignaciobriones_  todos @jalessandri https://t.co/z39vIY0dly",2021-04-21T01:56:20.000Z,1384687413621108736,es,0,0,0,0,FALSE,"","",don_gromo,2020-07-08T16:48:48.000Z,#sinretirotodosvotamosporPamela,"Soy un gatito con fotogénico, divertido , lúdico , juguetón, me gustan las cámaras  y las redes , pero por sobre todo soy un gato con opinión y deslenguado"
1286344827337138182,"@sebastiansichel Quien dijo q Sichel era una opción para presidente!?? Jajjaja si es lamebolas de Piñera! El presidente más odiado de la historia! Está remando para el mismo lado q la derecha tradicional, los super ricos, y la gente q se cague. Lo quieren vender como del pueblo ja! Si claro 🤣",2021-04-21T00:09:35.000Z,1384660550500683779,es,0,0,0,0,FALSE,"Santiago, Metropolitana de San","",PaolaPa91665835,2020-07-23T16:58:15.000Z,Paola Paredes,""
128725731,"@sebastiansichel estimado Buenas tardes, con todo respeto, me gustaría solicitar su ayuda en difundir nuestro servicio de cobro de facturas ALTSOLUTION Pymes👍 https://t.co/vFUrxUV6Gh",2021-04-20T22:39:15.000Z,1384637815854673920,es,0,0,0,0,FALSE,Santiago Chile,https://t.co/QkaWjsk7Hn,PatitaAlvarez,2010-04-02T01:11:43.000Z,Patricia Alvarez,"Jefa De RRHH en AltSolutions además practico Running!me gusta mucho la música y bailar, compartir con mis hijos familia y amigas!"
1289775470288998400,"@sebastiansichel A la mayoría de los chilenos también le molesta que vayan al TC(frente a esta necesidad)los parlamentarios tienen esa facultad para hacer está acusación aunque a muchos les moleste,si defienden tanto la constitución debe ser ante todo evento no solo para la conveniencia de ustede",2021-04-21T01:05:14.000Z,1384674552928690178,es,0,0,0,0,FALSE,"","",CecyPerezSoto,2020-08-02T04:10:18.000Z,Cecilia,Madre de 3 hijos
1290157531420073985,@sebastiansichel @sebastiansichel ya sabe a quien darle las gracias 🤣,2021-04-20T22:24:25.000Z,1384634081997099010,es,0,0,0,0,FALSE,"","",Alejand90912658,2020-08-03T05:28:32.000Z,Alejandra Camposano,musica: backstreet boys
1297189173686874117,@sebastiansichel Callate sacó wueaas y quieres ser presidente,2021-04-21T00:18:22.000Z,1384662761775542272,es,0,0,0,0,FALSE,"","",Ricardo47915597,2020-08-22T15:09:45.000Z,Ricardo,.....
129859243,@andres20ad Adiós @evelynmatthei ... adiós @ignaciobriones_ ... adiós @sebastiansichel ... adiós @LavinJoaquin ... adiós @desbordes,2021-04-21T04:21:47.000Z,1384724018071326722,hu,0,0,1,0,FALSE,Santiago de Chile,"",bzunigar,2010-04-05T16:42:21.000Z,Andrés Zúñiga,"Lic Educación, Mg"
130371929,"@sebastiansichel Que pena, te consideraba muy acertado.",2021-04-21T02:32:56.000Z,1384696624438554625,es,0,0,0,0,FALSE,"Concón, Valparaíso","",clorivi,2010-04-07T03:14:24.000Z,Claudia Rivera,yo no me callo ni estoy como ausente 😉#noalmaltratoanimal #aguaparaunperro #tenenciaresponsable #adopta #nosonmuebles #noabandones
1328863407219601411,@sebastiansichel ahora tienes tu voto ..mira la protesta ...eras un candidato ..ahora solo uno más del montón,2021-04-21T00:59:55.000Z,1384673214694100997,es,0,0,2,0,FALSE,"","",Manu734783531,2020-11-18T00:51:56.000Z,Manu,musica .aire libre
1335046342780006401,@AlexDeLargeCHI @LuciaDammert @matiasdelrio @kikemujica @cbofillr @elvillegaschile @joseantoniokast @IvanValenzuelaU @fuentesilva2 @sebastiansichel @gonzalomuller @hiranechecho https://t.co/MA4jM7gmhr,2021-04-21T02:42:39.000Z,1384699070334255105,und,0,0,0,0,FALSE,"","",Hades77415202,2020-12-05T02:20:35.000Z,Hades,""
1341579777375948802,@sebastiansichel Vendido,2021-04-20T23:50:01.000Z,1384655625326632964,es,0,0,0,0,FALSE,"","",CarmenL02593050,2020-12-23T03:02:12.000Z,Carmen Lagos,amo ami familia
134917009,La polarización NO resuelve los problemas del país!! #Armonía @sebastiansichel https://t.co/v6CbqWXr26,2021-04-21T00:14:03.000Z,1384661675014492164,es,0,0,0,0,FALSE,"Santiago, Chile","",gclivio,2010-04-19T20:47:43.000Z,"Gabriela Clivio, CFA","Economist, MA in Finance and MA in Economics. Founding member CFA Society Chile. Corp. Fin. University Professor. Peñarol & Scuderia Ferrari fan. 🇺🇾🇨🇱🇨🇦"
135159407,@sebastiansichel https://t.co/kvaYG60Rsn,2021-04-20T22:20:40.000Z,1384633138245218306,und,0,0,0,0,FALSE,chile,"",minoiquita,2010-04-20T14:07:49.000Z,la_shalita,AprueboAprueboAprueboAprueboAprueboAprueboAprueboAprueboAprueboAprueboAprueboAprueboApruebo y me gustan los gatos
135599487,@sebastiansichel Piñera acaba de prender la mecha,2021-04-20T23:57:41.000Z,1384657553599123456,es,0,0,0,0,FALSE,"","",rigaete,2010-04-21T19:25:00.000Z,ricardo jorge gaete,""
1359546596271259650,@sebastiansichel Que pasa Sebastián pensé que usted era diferente pero ahora defendiendo a Piñera !!!Todo lo que hace ese hombre es indefendible .,2021-04-21T01:47:15.000Z,1384685130149728265,es,0,0,0,0,FALSE,"","",ngelaHe54534932,2021-02-10T16:56:29.000Z,Ángela Hernandez,amo a mis hijos 🥰
1361822703737393152,"@sebastiansichel @sebastianpinera la maldicion sebastian. Sabes q con este comentario pierdes  como 300.001 votos. Osea mejor no se postule. @PamJiles ruego que este defensor de las afp. No salga como presidente, 1% de aprobacion https://t.co/KDI97JVbQj",2021-04-21T00:43:43.000Z,1384669139227144192,es,0,0,0,0,FALSE,"","",Maurici31224625,2021-02-16T23:40:18.000Z,Solo digo la verdad,""
1364932035396173828,@sebastiansichel @reinikecarola El problema no es creer en las democracias el problema es creer en los políticos que las administran puros delincuentes mentirosos ladrones asesinos depravados y cuanto delincuente está pululando por los 3 poderes del estado ahí está el error,2021-04-21T02:55:45.000Z,1384702365979365376,es,0,0,0,0,FALSE,"","",jrberrios3,2021-02-25T13:35:45.000Z,jrberrios,Bloqueo a todos los rojos y quien se me ocurra soy el que crió y libero el zorzal así me ubican
1371525678634573824,"@sebastiansichel Es una herramienta democrática y si la oposición cree que debe usarla está en su derecho, ellos tb fueron elegidos por el pueblo.
La cantidad de acusaciones constitucionales solo demuestra lo nefasto de tu gobierno.",2021-04-20T22:48:32.000Z,1384640153260630018,es,0,0,1,0,FALSE,"","",el_rojo_juan,2021-03-15T18:16:35.000Z,El Rojo Juan,No se que hago acá.
1374014054331789318,"@sebastiansichel QUIÉN O QUÉ PARTIDO, SEGUIRÁ APOYANDO A PIÑERA y ESTÁN DISPUESTOS A ""UNDIRSE"" CON ÉL Y SU GOBIERNO
DESACREDITADO, ODIODO CADA DÍA MÁS,
""HOY APOYARLO ES UN SUICIDIO POLÍTICO""
EL PUEBLO NO VOTARA POR TRAIDORES MISERABLES Y COBARDES!!!",2021-04-21T01:31:41.000Z,1384681209591119874,es,0,0,0,0,FALSE,"","",Valeria08925319,2021-03-22T15:04:55.000Z,Valeria😜,""
1374014054331789318,"@sebastiansichel QUIÉN O QUÉ PARTIDO, SEGUIRÁ APOYANDO A PIÑERA y ESTÁN DISPUESTOS A ""UNDIRSE"" CON ÉL Y SU GOBIERNO 
DESACREDITADO, ODIODO CADA DÍA MÁS,
""HOY APOYARLO ES UN SUICIDIO POLÍTICO""
PORQUE PERDERÁN VOTOS Y CREDIBILIDAD
EL PUEBLO NO PERDONARÁ!",2021-04-21T02:24:24.000Z,1384694478586396683,es,1,0,2,0,FALSE,"","",Valeria08925319,2021-03-22T15:04:55.000Z,Valeria😜,""
1375580252987068419,"@sebastiansichel Qué pasa cuando el presidente pierde su represebrarividad?
Quién no representa, no escucha y no se preocupa de los interés de la mayoría a quienes supuestamente representa, es quien atenta directamente contra la democracia.",2021-04-20T22:37:03.000Z,1384637263355777027,es,0,0,0,0,FALSE,"","",HeisenbergTomas,2021-03-26T22:48:01.000Z,Tomás Heisenberg,""
1375863900252540930,@Eave89 @sebastiansichel No esta demas mostrar este recuerdo para que este imbecil no salga electo https://t.co/rSbboCq3qf,2021-04-21T04:38:24.000Z,1384728199528058880,es,0,0,0,0,FALSE,"","",isaiasjara15,2021-03-27T17:35:19.000Z,isaias jara,wena compare
