author_id,text,id,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,location,description,verified,username,url,created_at.y
709870133,No hay que votar por nadie de la derecha... Nadie!!! @udipopular  @RNchile  hay que hacerles saber quien manda... Les vamos a pasar la cuenta perros qliaos.,1384643069597917191,2021-04-20T23:00:07.000Z,es,0,0,0,0,PsYcHoPaT,Centro...,Joven Chileno con derechos y deberes. me apesta la injusticia y la política barata..,FALSE,kebsaurio,"",2013-10-11T21:05:33.000Z
709870133,Los candidatos de @RNchile  @udipopular  @evopoli  tendrán que pasar la cuenta a @sebastianpinera  porque se las cobraremos en las próximas elecciones...  @CarlosAmpuero @IzquierdaUnida @elecciones_epch @cpls27 @KarolCariola,1384209029765898246,2021-04-19T18:15:24.000Z,es,0,0,0,0,PsYcHoPaT,Centro...,Joven Chileno con derechos y deberes. me apesta la injusticia y la política barata..,FALSE,kebsaurio,"",2013-10-11T21:05:33.000Z
82963099,"Abogare para que el diputado Pedro Pablo Álvarez - Salamanca sea pasado al Tribunal Supremo para su inmediata expulsión, el defender la vida desde su concepción hasta su muerte natural es un principio rector que rige los principios y valores de la @udipopular..

#Eutanasia",1384626019617890304,2021-04-20T21:52:22.000Z,es,1,1,1,0,Felipe Abalos #YoVoteRechazo👌,Chile,"Trabajando #PorUnChileMasJusto, Militante @udipopular, Guayano de corazón. #PalestinaLibre فلسطين الحرة
#CubaLibre #VenezuelaLibre 
#SiALaVida y #NoAlAborto..",FALSE,abalosfelipe,"",2009-10-16T20:16:14.000Z
90381329,"@yuyuniznavas se atreve a hablar del virus chino y la @udipopular cagona se le caen de miedo los churrines 
#MeHartaron",1384694502062018563,2021-04-21T02:24:30.000Z,es,0,0,0,0,Patriota,Santiago de Chile,"🇨🇱Rechazona🇨🇱Derechisima, Patriota de la secta, zurdos sigan de largo, mucha energía positiva. siempre agradecida, comunistas vayanse, feliz 🇨🇱##",FALSE,sklenner,https://t.co/CQOEqCrL8B,2009-11-16T12:20:04.000Z
925453548,@abalosfelipe @udipopular Ridiculo,1384626289424879618,2021-04-20T21:53:27.000Z,es,0,0,1,0,Quintralita,Niflheim,"Atea, bullanguera, accionista y abonada sin estadio, yendo más allá del horizonte. Gitana, borracha pero buena muchacha",FALSE,CatadelosriosL,"",2012-11-04T14:32:13.000Z
96816947,"@gonzalowinter Muy bien @IgnacioAchurra , con calma dejaste fuera del camino a la mujer más ignorante como candidata a Constituyente. #Yuyunis es la fiel representante del #Rechazo y de la @udipopular   (social) jaja",1384397378741018625,2021-04-20T06:43:50.000Z,es,0,0,3,0,Alejandro Reinino,Santiago-Chile,"Humanista, DC de origen, a veces no tanto. Cruzado, Institutano, y jamás de Derecha. Los violadores de DDHH a la cárcel.-",FALSE,alejandrogutie,"",2009-12-14T18:50:07.000Z
994048621304741888,@diputadosudi @SocialUDI @UDIJuventud @udipopular para que tomen caldo de cabeza y piensen que les pasó 👁 https://t.co/rKNZK6sABy,1384126664595050496,2021-04-19T12:48:07.000Z,es,2,0,2,0,La Firme,Chile,No hay distribución sin crecimiento y no hay crecimiento sin un ambiente de libertad para emprender e innovar.,FALSE,lafirme4,"",2018-05-09T02:57:14.000Z
99791021,@brigadachacon @yoopinopino @edotrigol @udipopular Yaaaaaaa el bloqueo económico jajajaja el comunismo no funciona por bloqueo económico...,1384220283674890249,2021-04-19T19:00:07.000Z,es,0,0,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@brigadachacon @yoopinopino @edotrigol @udipopular Los problemas en Salud es gestión y falta de infraestructura. Lo segundo lo hace el MOP y construye, lo primero es la falta de personal administrativo idóneo. Es una vergüenza la falta de gestión en algunos consultorios. Lo mismo algunas escuelas.",1384159823701233670,2021-04-19T14:59:53.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,@brigadachacon @yoopinopino @edotrigol @udipopular Antes eran creativo con esas pancartas pegadas en espacios públicos con engrudo,1384220448896913411,2021-04-19T19:00:47.000Z,es,0,0,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@yoopinopino @brigadachacon @edotrigol @udipopular Ejemplo de que? Mi punto es que no es necesario una nueva constitución para dar solución a los problemas sociales de Salud, educación. Son temas de gestión. Tu cuba y venezuela es ejemplo de lo mal q puedes llegar si te pones a hacer cambios donde no es necesario.",1384171110917238784,2021-04-19T15:44:44.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@yoopinopino @brigadachacon @edotrigol @udipopular En realidad deberías escribir: “jejejejejeje” así serías progre inclusivo, discriminador....",1384172912471539722,2021-04-19T15:51:53.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@yoopinopino @brigadachacon @edotrigol @udipopular Jajajajajaja nada qver! Rechazo el tongo del “acuerdo por la Paz” y la salida con plebiscito a nueva constitución, siendo que los problemas son bajos sueldos ergo bajas pensiones, mala calidad y oportunidad en educación y Salud públicas. Nada de eso se mejora con nva constitucion",1384155338396504071,2021-04-19T14:42:03.000Z,es,0,2,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@brigadachacon @yoopinopino @edotrigol @udipopular Por eso mismo no hay que modificarla para mejorar la calidad de la vida de la gente (pueblo lo usan solo los comunistas). Puedes poner en la constitución lo q se te ocurra, pero sin gestión y visión país nada mejora, mira Cuba y Venezuela...",1384168700517904387,2021-04-19T15:35:09.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@brigadachacon @yoopinopino @edotrigol ¿? Yo lo soy de la @udipopular mal ahí en todo caso ellos. Todos los ladrones, estafadores deben ser juzgados y a la cárcel.",1384153768523026443,2021-04-19T14:35:49.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@yoopinopino @brigadachacon @edotrigol @udipopular Gestión! Lo divertido es que Ustedes son de insulto fácil, yo no les he faltado el respeto. En las constituciones de Venezuela y Cuba están todos los derechos para todos, y sin gestión ni compromiso pais, tienen un país de hambre y tristeza.",1384169938496020492,2021-04-19T15:40:04.000Z,es,0,2,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@brigadachacon @yoopinopino @edotrigol @udipopular No se requiere un nuevo modelo. Ese es parte del entender el problema. Lo que se necesita es mejor gestión y con una mirada más jesuita, (en todo amar y servir) por parte de operadores estatales, que mercantilista.",1384158030900568070,2021-04-19T14:52:45.000Z,es,0,0,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
99791021,"@yoopinopino @brigadachacon @edotrigol @udipopular El estado tiene un sin fin de instituciones para hacer las mejoras necesarias marginalmente haciendo gestión. Desde los directores de hospitales, que ponen a cualquier operador político, hasta escuelitas, q ponen a algún compipa del alcalde. NO necesitas cambiar constitución.",1384157613907091469,2021-04-19T14:51:06.000Z,es,0,1,0,0,Carlos Rebolledo,"Providencia, Chile","👍🏼la política,👎🏼algunos políticos. Creativo, me aburro rápido, empático y picao. carcel a corruptos d toda índole. Voté #Rechazo. A construir un mejor Chile",FALSE,ceridread,"",2009-12-27T21:54:16.000Z
