author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,username
351230071,1384740729482846210,2021-04-21T05:28:11.000Z,es,"@mcubillossigall @sebastianpinera Si te veo alguna vez seguro te escupo la cara, saludos 🙃",0,0,0,0,juan pablo,"","",FALSE,2011-08-08T23:45:33.000Z,JpIbaRi
366973334,1384735794779275265,2021-04-21T05:08:35.000Z,es,@Nanku85415259 @mcubillossigall @sebastianpinera Las lacras dicen lo mismo 🤷,0,0,1,0,Gaba Muñoz,"",Constructor Civil 🧱,FALSE,2011-09-03T04:36:07.000Z,Gabamunozc
3681286877,1384710639663423492,2021-04-21T03:28:37.000Z,es,@RussettiSabi @VergaraRubuo @mcubillossigall @sebastianpinera Comunismo?????? 😂😂😂😂😂,0,0,0,0,NANCY EMILIA F.,"","",FALSE,2015-09-17T02:57:15.000Z,ditachy58
445124487,1384739270448062465,2021-04-21T05:22:23.000Z,es,"@mcubillossigall @sebastianpinera Vieja hija de puta. Tú y todo tu sector, lastres y perros rastreros de los empresarios.",0,0,0,0,Pobre con Acceso a Créditos,"",Cliente de CHILE S.A #APRUEBO,FALSE,2011-12-24T01:46:05.000Z,CristobalSilvaE
492352167,1384714539829186560,2021-04-21T03:44:07.000Z,es,@mcubillossigall @sebastianpinera Que cerrada es Ud siempre apoyando al Gobierno.,0,0,0,0,JAIME MOLINA JEREZ,"","",FALSE,2012-02-14T16:32:26.000Z,JAIMEMOLINAJERE
501166190,1384727848192204801,2021-04-21T04:37:00.000Z,es,@mcubillossigall @sebastianpinera No debió dejarse amedrentar cuando pidieron una nueva Constitución,0,0,0,0,Negrita Barrera V.,"",La perseverancia no hace que todo sea fácil... hace que todo sea posible,FALSE,2012-02-23T21:30:00.000Z,negritaBarreraV
564836638,1384743387681726464,2021-04-21T05:38:45.000Z,es,@mcubillossigall @sebastianpinera Excelente xk Piñera se terminó de asegurar que tu sector no gane ni la eleccion de centro de alumnos de ahora en adelante. La soberbia no te deja ver la cagada en el pais y la caída de tu sector. Que algo bueno haya salido de abofetear la dignidad de la gente.,0,0,0,0,PiliTheFiura,"","Viajera profesional , ser humano amateur y hedonista convicta",FALSE,2012-04-27T18:53:40.000Z,PilarRiedemann
57251753,1384731619395780608,2021-04-21T04:51:59.000Z,es,"@mcubillossigall @sebastianpinera Cito "" Se debe exigir respeto al estado de derecho""...

Señora , actualmente nos encontramos en estado de EXCEPCIÓN en donde actualmente nos encontramos privados de los derechos fundamentales...",0,0,0,0,Tavo..,"","",FALSE,2009-07-16T05:19:25.000Z,OPGuarBoot
603284426,1384710671728844801,2021-04-21T03:28:45.000Z,und,@mcubillossigall @sebastianpinera 💪💪💪💪💪,0,0,0,0,miguel claro,"","",FALSE,2012-06-09T03:52:41.000Z,miguelclaro56
618714366,1384714378130374658,2021-04-21T03:43:29.000Z,es,"@mcubillossigall @sebastianpinera Andate tu y tu presidente a la  CTM !! Mal nacidos inhumanos, hasta cuándo se ríen del pueblo ? Después no digan q no lo vieron venir .",0,0,0,0,cheloco,"","a la de izquierda del dial, bullanguero for ever y con opinion en temas q me interesan, si eres zorra o facho,..pasa de largo #GraciasSampaoli #Apruebo",FALSE,2012-06-26T02:07:59.000Z,chelo7124
