author_id,lang,text,id,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,username,description,url,created_at.y,location,verified
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/p42O3UjL4G,1384676801235099648,2021-04-21T01:14:10.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/eLp7PRk3Pl,1384736940986097666,2021-04-21T05:13:08.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/V6063mQKq2,1384676700739473413,2021-04-21T01:13:46.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/4xA2ZDKFWl,1384694124562067463,2021-04-21T02:23:00.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/IRmUuLxAC6,1384694087459254275,2021-04-21T02:22:51.000Z,1,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/evc6P0j3mw,1384694048401891332,2021-04-21T02:22:42.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/nRcRRJO4WU,1384693875953094656,2021-04-21T02:22:01.000Z,1,0,1,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/ZDKRKMEYyJ https://t.co/z8vm1A7Ys9,1384676176170561536,2021-04-21T01:11:41.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/2ylsk6FcsF,1384693460817563649,2021-04-21T02:20:22.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/EUpEbeN5Fi,1384675484328513537,2021-04-21T01:08:56.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
