author_id,id,text,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,location,url,created_at.y,name,verified,description
782709564,1384729749705089024,@maylwino Das vergüenza,2021-04-21T04:44:34.000Z,es,0,0,0,0,TapiaColl,"San Fernando, Chile","",2012-08-26T16:05:28.000Z,Atapia,FALSE,""
81966680,1384723356541497352,@maylwino https://t.co/tF3Ts6paow,2021-04-21T04:19:09.000Z,und,0,0,0,0,luniwiri,"",https://t.co/OEGWva6Fid,2009-10-13T00:20:57.000Z,Xi,FALSE,"Patipelada, peinadora de muñecas 😜"
835701560,1384743901123207168,@maylwino Cada día peor nuestro hermoso CHILE,2021-04-21T05:40:47.000Z,es,0,0,0,0,mamasiempre4,"","",2012-09-20T14:36:48.000Z,mp,FALSE,""
835943266109505538,1384718834586771457,@RealidadNacion6 @maylwino nop,2021-04-21T04:01:11.000Z,und,0,0,1,0,florence3087,"","",2017-02-26T20:03:00.000Z,Florence,FALSE,""
851293140,1384719305594613760,"@maylwino Dijo la candidata, que de cándida no tiene nada, demócratacristiana golpista, hija de otro golpista y amiga de la derecha asesina, adoradora del genocida, ladrón y narcotraficante, el dictador chileno Pinochet.",2021-04-21T04:03:03.000Z,es,0,0,0,0,Petricorpolis,"VI Región, Chile.","",2012-09-28T15:53:14.000Z,🍀Caperucita Rojas,FALSE,"ExProfe, excribidora.Misofónica sufriente. Si a la Derecha le parece bueno, es MALO.  
Bloqueo a fachos  🚫    


#YoApruebo
#RenunciaPiñera

        📚🌍🎨🐕🐈"
86149355,1384710936087379968,"@maylwino Y usted defiende a Piñera?, Mariana, usted es una mujer inteligente, hija de un tremendo lider politico, no pierda su tiempo...DENUNCIE A PIÑERA Y SU GOBIERNO INUTIL. Pronto todo cambiará, no se quede abajo de este cambio. Piñera será derrocado.",2021-04-21T03:29:48.000Z,es,0,0,1,0,CARLOURREA,"SANTIAGO, CHILE",https://t.co/lgzBSToB62,2009-10-29T20:01:59.000Z,Carlos Felipe Urrea Torres,FALSE,NO al Neoliberalismo Pinochetista #TercerRetiro10xCiento. el #18Oct pensé que Chile cambiaba. Libre Pensador Centroizquierdista #Aprobé
87810609,1384719222991953921,@maylwino Y tu papito le beso los pies al dictador de Pinocho para el golpe y después se los besó de nuevo para ser presidente...tejado de vidrio marianita,2021-04-21T04:02:44.000Z,es,0,0,0,0,EnriqueMeLlaman,En Casita,"",2009-11-05T23:12:14.000Z,EnriqueNoMas,FALSE,"❤🐶🐶🐶🐱🐱🐱😷 Odioso de corazón...🔥🔥🔥
me gusta robar memes 🥰"
87981792,1384709339861106694,"@maylwino Estamos en Chile vieja culia, hasta cuando Venezuela",2021-04-21T03:23:27.000Z,es,0,0,0,0,zecharles,Antofagasta Chile,https://t.co/I4tFUQe7xa,2009-11-06T16:56:04.000Z,CHARLES ARAYA,FALSE,Amo a mis hijas
894038311945240579,1384730760926703616,"@maylwino Que susto le da Navarro a esta señora Traidora y que avala la violación a los DD.HH, algo más esconderá, por tanta preocupación",2021-04-21T04:48:35.000Z,es,0,0,0,0,glorialeall,"","",2017-08-06T03:31:58.000Z,Gloria Leal,FALSE,"Feminista, activista y defensora de los derechos humanos."
897991524956479489,1384715447929655297,@maylwino Hija de aylwin tenias que ser,2021-04-21T03:47:44.000Z,es,0,0,0,0,Rodriguez72414,"Chile Chico, Chile","",2017-08-17T01:20:38.000Z,Lota72,FALSE,""
91262333,1384714911696179202,"@RealidadNacion6 @maylwino Lo hacen porque Piñera cruzó el límite, al darle la espalda a millones, eso no se debe aceptar",2021-04-21T03:45:36.000Z,es,1,1,3,0,germanmartincal,Chile,https://t.co/I6s2xH6P9N,2009-11-20T03:40:06.000Z,german calderon,FALSE,"Ñuñoino en gira permanente, recién nacido de 57 años, flaco con kilos de más, papá,  chuncho y bielsista"
930897221461176322,1384719145556746242,@maylwino ES DIGNO DE UN PSIQUIATRA.,2021-04-21T04:02:25.000Z,es,0,0,0,0,AlejandroSekler,"Santiago, Metropolitana de Santiago","",2017-11-15T20:36:07.000Z,Alejandro Sekler,FALSE,RECHAZO PORQUE AMO MI PATRIA.
96362007,1384714931107467270,@maylwino @contreras572 Wely déntrate  que hace frío,2021-04-21T03:45:40.000Z,es,1,0,4,0,hugabel,Chiloé ,"",2009-12-12T15:30:57.000Z,#PatagonComeGuagua,FALSE,Hoy estamos mañana no sabemos grita ahora que tienes voz por la zurda siempre
96672138,1384714977693601792,@maylwino Y como tú fuiste ministra de educación?,2021-04-21T03:45:52.000Z,es,0,0,0,0,highlander865,Chile,https://t.co/zqqyUMGjY9,2009-12-14T02:06:38.000Z,High,FALSE,"Tipo piola, rockadicto buena onda, un poco guachaca, espontaneo, incomprendido. Solitario bien acompañado bien tb, soy mi compañia perfecta...#Apruebo"
982628445560692736,1384713938391257088,@ignacio_kvh @maylwino @TomAylwin85 Que  gran Señor!!,2021-04-21T03:41:44.000Z,es,0,0,0,0,MayorOlalla,Las Condes Santiago Chile,https://t.co/8ETJ7KLveI,2018-04-07T14:37:32.000Z,jorge,FALSE,"Publicista, director creativo, TV, escritor, Coach, cadete, ufologo, padre, abuelo, amigo."
