author_id,id,created_at.x,text,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,name,verified,url,description
1381340467992920069,1384700181128564740,2021-04-21T02:47:04.000Z,"@barriobenavente @KarolCariola @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile Creo q es al revés, excelentísima Karol.Chile ya no soporta a los comu nistas,dado q son antidemocráticos y están hundiendo al país en 1 hoyo.Uds politiqueros, no quieren a su país, quieren el PODER,son vividores,zánganos,aprovechadores de la ignorancia d la gente",es,0,0,0,0,2021-04-11T20:17:29.000Z,Empanada_pino1,💚💚Empanada pino,FALSE,"","La izq,hace tiempo está desacreditado a nuestras FFAA y policías,quieren anularlas y tomarse el poder por la fuerza. Como en las dictaduras comunistas"
140622648,1384706613739671556,2021-04-21T03:12:37.000Z,Ya no queda nada de la @RNchile Don Sergio Onofre Jarpa no podria creer la facilidad con que destruyeron el partido. #Constituyente https://t.co/PvenZFzRb6,es,0,0,2,0,2010-05-06T00:35:42.000Z,patricioferrer,Patricio Ferrer,FALSE,"","Orgulloso del 22% , somos la resistencia, defendiendo la Libertad, la Familia y el Orden Publico #RecuperemosChile 
  🐱🎸👁️‍🗨️📱♂️➡️💙🇨🇱"
150252018,1384703037898477570,2021-04-21T02:58:25.000Z,"@barriobenavente @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile Aaah ok, asi no poh, ni una gracia, las rrss son para interactuar y ojalá con nombre y rostro. Bs noches @barriobenavente 😶🤔",es,0,0,0,0,2010-05-31T13:26:26.000Z,CarmenConcejala,Carmen Zamora Jopia,FALSE,https://t.co/vZxFcFSODJ,"Serenense, Candidata Concejala YW-342, Gestora, Profesora y Coach, #SoyPS https://t.co/NFcMug0XHh                #LaSerena"
150252018,1384707436938997762,2021-04-21T03:15:54.000Z,@barriobenavente @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile Nombre y apellido de políticxs q eligen o dejan q sean electos. De eso trataba el tema de este tweet. Por eso NO da lo mismo por quien votar y SÍ tienen q 1ro IR a votar y 2do. Votar INFORMADXS.,es,0,0,0,0,2010-05-31T13:26:26.000Z,CarmenConcejala,Carmen Zamora Jopia,FALSE,https://t.co/vZxFcFSODJ,"Serenense, Candidata Concejala YW-342, Gestora, Profesora y Coach, #SoyPS https://t.co/NFcMug0XHh                #LaSerena"
1594568887,1384721043701571584,2021-04-21T04:09:58.000Z,@Alex37334996 @PLRchile @udipopular @RNchile @evopoli @joseantoniokast @obsDDHHcl https://t.co/6WaN5YxWZ8,und,0,0,0,0,2013-07-15T00:05:58.000Z,tecobravo,Teco,FALSE,"","Siempre junto a Nuestras FFAA, Carabineros y PDI. !!!"
170803699,1384706072204742664,2021-04-21T03:10:28.000Z,"@vidalvocero Este tercer retiro del 10% es una farsa, esconde que ya hay 6 millones sin fondos ósea sin pensión para su vejez, además que los que aún los tienen BAJARÁN EN UN 28,9% en sus futuras pensiones, todo esto gracias al #PeorCongreso y “tontos útiles” de la derecha cobarde @RNchile",es,3,0,3,0,2010-07-25T20:27:37.000Z,hernan1750,@Hernan1750 Patriota🇨🇱,FALSE,"",Derribar y destruir es muy fácil. Los Heroes son aquellos que construyen y trabajan por La Paz. Nelson Mándela  #ApoyoCarabineros
170803699,1384721074873683968,2021-04-21T04:10:05.000Z,"@desbordes el lider de los “ tontos Útiles “ de la derecha cobarde, nadie se explica, su concepto de lealtad al Pdte.@sebastianpinera en su condición de .@RNchile y menos aún no haber respetado valores y principios, la CPE se respeta,la valentía está en defenderla y no atacarla https://t.co/bCcYgi8RdD",es,0,0,0,0,2010-07-25T20:27:37.000Z,hernan1750,@Hernan1750 Patriota🇨🇱,FALSE,"",Derribar y destruir es muy fácil. Los Heroes son aquellos que construyen y trabajan por La Paz. Nelson Mándela  #ApoyoCarabineros
2358702834,1384725986307100678,2021-04-21T04:29:36.000Z,@sebastianpinera @udipopular @PDC_Chile @RNchile te odio Piñera conchetumare bastardo culiao y todos uds políticos chupa picos están donde calienta el sol pero recuerden nunca más por uds bastardos culiaos hijos de puta pero ya no caminarán tranquilos,es,0,0,0,0,2014-02-24T00:36:52.000Z,LuisLuismn186,Luis Moraga,FALSE,"",""
255574819,1384719832172609540,2021-04-21T04:05:09.000Z,@DiputadosDC @PSChile @PPD_Chile @RNchile... Y ahora se seguirán haciendo los wns? https://t.co/nHhA0g9huX,es,0,0,0,0,2011-02-21T17:02:31.000Z,megajota81,Jota Fuentes #RenunciaMalditoHdP!!,FALSE,"",Ateo...!!!!  Muchos tragos de Rock....!!!  Penquista!!!! Zurdo!!! #FueraPiñera #ElPeorGobiernodelaHistoria
2935491537,1384727426312380416,2021-04-21T04:35:20.000Z,"@informacionechi @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
