author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,location,url,description
1308909101175508994,2021-04-19T20:17:22.000Z,"@GermanM05460466 @sociologa_facha @CNNChile @fernandopaulsen Porque comparo un Plebsicito y sus resultados con un Bono, solo por la palabra Rechazo.",1384239722143178752,es,0,0,0,0,FALSE,Rodrigo C,RodrigoCEsteban,2020-09-23T23:20:52.000Z,"","","Fútbol Colocolino/ Politica/ Centro Derecha. Ex CVD, Ciencias Politicas."
1381275723697111049,2021-04-20T05:00:40.000Z,"@CNNChile @fernandopaulsen fundacion el QL,  A YA DEJAME HASTA AHI APUESTO Q LE FALTA MAS DINERO DEL ESTADO, q se vaya a trabajar gratis el ql y deje de wear, no estamos para alimentar mas paracitos y fundaciones ql zurdas https://t.co/SqdgAZb2of",1384371413658869761,es,0,0,0,0,FALSE,Bender Perez Luma,BenderLuma,2021-04-11T15:59:39.000Z,"","","Me gusta realizar tareas repetitivas. RECHAZO Y DERECHA, FUERA FUNDACIONES ZURDAS PARASITAS"
138458635,2021-04-20T06:06:45.000Z,@PaulinaAstrozaS @fernandopaulsen Huy que poeta el viejito,1384388047425441795,es,0,0,0,0,FALSE,Antonio S.,elsaaviedra,2010-04-29T16:06:50.000Z,"San Antonio, Chile","",Con miPYME estamos haciendo la pega... Nos vemos en el Jumbo a carro llen@
139137512,2021-04-19T22:54:26.000Z,Gracias @fernandopaulsen https://t.co/I2zmXh5ZOM,1384279250543411205,es,0,0,0,0,FALSE,Juan Pablo Maturana,JuanPabloMB82,2010-05-01T17:18:11.000Z,Chile,"","Periodista y fotografo vegano, conocedor del fútbol, NBA y tenis internacional. Amor eterno a @udechile"
146333679,2021-04-21T04:40:49.000Z,"@CNNChile @fernandopaulsen #ÚltimaMirada
Interesante lo planteado por Raúl Sohr sobre el ""espiritu de cuerpo"" de la policía (linea azul) en EEUU; en la serie #CHICAGOPD se trato ese tema en varios capítulos.",1384728806854909953,es,0,0,0,0,FALSE,Pablo J. Vera,Socratesbiker,2010-05-21T05:08:22.000Z,"Puente Alto, RM, Chile","","#ONO!!!👍👍👍  Amante de la vida, 🍷 tinto;  ... de los (últimos) que aún envía 🌷🌺🌹 fanatico del mtb, trekking y todo lo que huela a aventura."
148852252,2021-04-19T23:38:57.000Z,"Gran intervención @fernandopaulsen en #T0
El gobierno del rechazo, le dice a la ciudadanía: “te rechazo, te rechazo, te rechazo”
Hoy anuncia el IFE sin requisitos, pero con letra chica para el 80% mas vulnerable
Cuanta falta de humanidad en un solo gobierno! 
#bonoclasemedia2021 https://t.co/2ZsRrwlou4",1384290452380155911,es,13,0,35,0,FALSE,Karina Oliva,karina_ol,2010-05-27T19:43:03.000Z,"",https://t.co/Sqhv5pMrCz,Mamá de Emilia | Candidata a Gobernadora RM @ComunesCL| Frente Amplista | Colaboradora @RevistaPlebeya y en @Chile_21 | Amante del fútbol ❤️#MilitanciaPopular
149009036,2021-04-20T18:25:45.000Z,Ya escuchando atento él capítulo 68 del 2021 de #MetrópolisSuperliga con @RodrigoGomez68 @fernandopaulsen Jesús @ChicoPenailillo y la verdad que encuentro super malo y discriminatorio para la alta competencia ésta superliga. Saludos para todos y aguante el pueblo de Chile.. https://t.co/NLdhcX2XQs,1384574019459067904,es,0,0,1,0,FALSE,Jorge Hernández,helkan32,2010-05-28T05:10:19.000Z,"","",Sígueme y te Sigo
151642680,2021-04-19T23:05:02.000Z,@PaulinaAstrozaS @fernandopaulsen Escucha CONCHETUMARE @sebastianpinera,1384281917642608643,es,0,0,0,0,FALSE,Cesar Quezada M.,CesarQuezada33,2010-06-03T22:22:48.000Z,Chile.,"",Azul de corazon. Bullanguero de toda la vida. Weno pa' las chelas. El pilar de vida es mi familia. Hogareño con una parrilla es lo ideal!!!
15628511,2021-04-19T23:21:19.000Z,@PaulinaAstrozaS @fernandopaulsen Derechazo derechazo derechazo,1384286015095853056,es,0,0,0,0,FALSE,Paul Hanke,paulhanke,2008-07-28T05:59:44.000Z,"Santiago, Chile ","",la tele a color
164132988,2021-04-20T11:24:16.000Z,"Feñita es lo mas lindo que tiene el país, ¿si o no @amayarojasarnal ❤️?
@fernandopaulsen https://t.co/xt7J80jtr1",1384467951282266114,es,0,1,2,0,FALSE,Almar,absurdidez,2010-07-08T03:29:48.000Z,Chile,"",Me gusta más el vino que las flores. No creo en el eslabón perdido. Jodida pero contenta.
175962712,2021-04-20T12:27:55.000Z,"MUY BUENOS DÍAS 
Y GRACIAS A @fernandopaulsen 
POR ESTA CRUDA VERDAD https://t.co/AvXcVn25dx",1384483970235211781,es,0,0,0,0,FALSE,KELEVR@,pelao108,2010-08-08T04:07:16.000Z,"","","Mas a la izquierda que el pc, criado al fuego de una olla común buscando la igualdad social .....no perdónamos y no olvidamos"
175962712,2021-04-21T01:43:54.000Z,@eltetera Aquí @fernandopaulsen https://t.co/0WxrT5Q574,1384684285031030785,es,0,0,2,1,FALSE,KELEVR@,pelao108,2010-08-08T04:07:16.000Z,"","","Mas a la izquierda que el pc, criado al fuego de una olla común buscando la igualdad social .....no perdónamos y no olvidamos"
178492312,2021-04-20T17:32:26.000Z,"Ya podemos #MedirCO2 💪💪
786 ppm intradomiciliario, 3 personas c/ todo cerrado y estufa encendida, afuera está 🌧❄️🥶 midan CO2 si comparten aire en espacios cerrados‼️@jljcolorado @TVconmascarilla @DMatamala @TV_DanielS @fernandopaulsen #CovidEstáEnElAire #COVIDisAirborne https://t.co/WxDzDnDCQx",1384560604753678338,es,0,0,2,0,FALSE,Carlos Silva Menzel.,csilvaregulador,2010-08-14T22:45:09.000Z,"Puerto Montt, Chile",https://t.co/2zEG5L9tSV,Enfermero Regulador SAMU Puerto Montt. - Fundador HandsApp. - Bombero Voluntario 7a Compañía Valdivía - Becario del @cphrcuba
179295048,2021-04-19T22:35:38.000Z,@rafa_cavada @fernandopaulsen Hace tiempo no se le veía tan tostado.,1384274519523614724,es,0,0,0,0,FALSE,Sole O.o 🍉🌱🌽🍒🌻🦞🌊🏜️🐛🌅🌧️💧,borgonialover,2010-08-17T00:02:19.000Z,Chile,"","Me rio fuerte,bailo a pata pelá y trato de disfrutar lo q la vida me da,hace 28 años camino acompañada❤ Tratando de ser optimista pese a todo."
18136469,2021-04-20T04:08:38.000Z,@albertolarrains @Ultima_Mirada @fernandopaulsen Te veo .,1384358319792566273,es,0,0,0,0,FALSE,Gloria Roa baker,Canelakitchen,2008-12-15T13:43:56.000Z,Calera de Tango - Chile,https://t.co/3naAo14lIQ,"vivo en parcela con mi familia  y 3 perros .
y aprobé  de todas maneras
Cristiana .


Blog de recetas de cocina de todo tipo


http://canelakitchen.blogs"
181796141,2021-04-21T04:39:49.000Z,@CNNChile @vladomirosevic @fernandopaulsen Bien @vladomirosevic por pelear esta ley!,1384728555616182274,es,0,0,1,0,FALSE,Sebastián Mas’ad N.,semasad,2010-08-23T02:19:54.000Z,Chile,https://t.co/Tca6Sw69z8,Socio consultor @nursoftco. Palestino 🇵🇸. https://t.co/FqGy3zoaqf
