author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,description,url,created_at.y,username,verified
1194226563874725888,1384731326490755079,2021-04-21T04:50:49.000Z,es,@melnicksergio En tu lógica toda la gente que esta o estará manifestándose en contra de la medida es de izquierda?. La derecha y la izquierda no existe en el 99% de la gente. Ustedes viven en una burbuja. Estudiaste en el nido de aguilas porfavoooorrrrr. Nunca más ustedes.,0,0,0,0,Erik Aceituno,"Apruebo, aborto libre, Antidictadores",https://t.co/Cs7VyyWbQM,2019-11-12T12:13:07.000Z,AceitunoErik,FALSE
1194767706525974529,1384729501117165575,2021-04-21T04:43:34.000Z,es,@epd2014 @melnicksergio No a lugar.,0,0,0,0,Xime Su,"Libertad, tu estandarte. Desgarrado pero airoso. Se abre paso contra el viento. 🇨🇱🇨🇱      🙄Se me acabó la paciencia, bloqueo tontones y maleducados.","",2019-11-14T00:03:27.000Z,XimeSu3,FALSE
120396105,1384737045101359104,2021-04-21T05:13:33.000Z,und,@melnicksergio 🐷,0,0,0,0,tommy shelby,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,blaskhufu,FALSE
1214198986334064640,1384730305169342467,2021-04-21T04:46:46.000Z,es,"@bastogne1943 @melnicksergio Lo sé. Comparto su menosprecio por el personaje, dado lo que ha traicionado nuestros ppios en el pasado. Pero al igual que un hijo que se ha portado mal en el pasado, cuando éste hace algo bien, hay que felicitarlo y no seguir condenándolo por su mal comportamiento pasado.",0,1,0,0,Pedro Schiavi Stoiber,"Ing Civil Mecánico, MBA, penquista, fanático de matemática, física, economía, finanzas y nuevas empresas, Liberal clásico - Hipótesis non fingo.","",2020-01-06T14:56:21.000Z,PedroStoiber,FALSE
1214198986334064640,1384732093234749440,2021-04-21T04:53:52.000Z,es,"@bastogne1943 @melnicksergio No puedo asumir que la causa de la presentación haya sido esa. Tendría que estar metido en la cabeza de Piñera. Lo que sí sé, es que había que hacerlo por razones técnicas y justicia social. Solo eso sé en forma objetiva, por lo que, en esta vez, aplaudo la medida!",0,1,0,0,Pedro Schiavi Stoiber,"Ing Civil Mecánico, MBA, penquista, fanático de matemática, física, economía, finanzas y nuevas empresas, Liberal clásico - Hipótesis non fingo.","",2020-01-06T14:56:21.000Z,PedroStoiber,FALSE
1232889018553118720,1384736982925029376,2021-04-21T05:13:18.000Z,es,"@melnicksergio @polyrocha La historia se esta repitiendo, se están ganando el final a pulso.
Ojalá llegue pronto. 
Me encantan los finales felices.",0,0,0,0,"🇨🇱 SimplementeMaria #Rechazo, Soy del 22%","Orgullosa de ser chilena y de Conce, Región del Biobío.
Apoyo a:

@paz_charpentier #CHdeChilePazParaChile (XP-23) #Distrito20
❤🍀🌻⚘🍁🥀🌿💚","",2020-02-27T04:43:59.000Z,Airam5373,FALSE
1246588484598616064,1384732063321006080,2021-04-21T04:53:45.000Z,es,"@melnicksergio Hace rato que no hacía algo bien ....
Pero igual ya no lo soporto....lamentable",1,0,0,0,Mapepa,"Valoro  la  honestidad  y  la  lealtad.
Quiero  un  🇨🇱🇨🇱 CHILE  🇨🇱🇨🇱     libre ,  democrático ,  unido  y  en Paz.
#ChileUnidoAvanza","",2020-04-05T00:01:02.000Z,Mapepa20,FALSE
1256272233921642497,1384744602767347715,2021-04-21T05:43:35.000Z,es,"@melnicksergio Esta gente y los que aman a este tipo de enfermos, el tiempo dara la razón que fueron y han sido siempre unos tontos utiles. Lo firmo que en las próximas elecciones sacar el eslogan que sacaron el 10 % somos de uds.😎 haciendo publicidad con la plata de los wns que tienen AFP🤣🤣",0,0,0,0,CAZA DELINCUENTES Y PC 🇨🇱,"","",2020-05-01T17:20:33.000Z,joshhh1973,FALSE
1264055024369446913,1384728954863591425,2021-04-21T04:41:24.000Z,und,@diputadosudi @Tono_Coloma @ivanmoreirab @RojoEdwards @cfelmerv @melnicksergio https://t.co/UACszoMr77,0,0,0,0,Patricio Olivares Cruz 🇨🇱🇨🇱🇨🇱,"Ingeniero Comercial y Personal Trainer
Soy del #Rechazo y #Anticomunista 
Votaré por @carreragonzalo Alcalde de Las Condes!","",2020-05-23T04:47:46.000Z,JavierO67768511,FALSE
1279162994006597639,1384729045653495812,2021-04-21T04:41:46.000Z,es,"@melnicksergio Don Sergio, efectivamente Piñera está en lo correcto, sin embargo, el momento político no es el apropiado, espero que cambie de opinión. La constitución del 80 se murió el 18 del oct. de 2019, además los fondos de pensiones serán expropiados en el próximo gobierno,mejor sacarlos.",0,0,0,0,DAVID ARACENA FARIAS,"""Cuantas veces he muerto viendo matar un toro....""","",2020-07-03T21:20:08.000Z,FariasAracena,FALSE
